neighbourhood_cleansed,room_type,count
Spuyten Duyvil,Entire home/apt,3
Spuyten Duyvil,Private room,2
Spuyten Duyvil,Shared room,1
St Albans,Entire home/apt,15
St Albans,Private room,39
St Albans,Shared room,3
St George,Entire home/apt,31
St George,Private room,20
Stapleton,Entire home/apt,9
Stapleton,Private room,14
Stapleton,Shared room,2
Stuyvesant Town,Entire home/apt,11
Stuyvesant Town,Private room,14
Sunnyside,Entire home/apt,117
Sunnyside,Private room,205
Sunnyside,Shared room,8
Sunset Park,Entire home/apt,165
Sunset Park,Private room,218
Sunset Park,Shared room,7
Theater District,Entire home/apt,123
Theater District,Private room,84
Theater District,Shared room,16
Throgs Neck,Entire home/apt,7
Throgs Neck,Private room,6
Throgs Neck,Shared room,1
Todt Hill,Entire home/apt,1
Todt Hill,Private room,1
Tompkinsville,Entire home/apt,8
Tompkinsville,Private room,17
Tottenville,Entire home/apt,3
Tottenville,Private room,1
Tremont,Entire home/apt,3
Tremont,Private room,7
Tremont,Shared room,1
Tribeca,Entire home/apt,125
Tribeca,Private room,57
Tribeca,Shared room,1
Two Bridges,Entire home/apt,26
Two Bridges,Private room,44
Unionport,Entire home/apt,4
Unionport,Private room,1
University Heights,Entire home/apt,2
University Heights,Private room,18
University Heights,Shared room,2
Upper East Side,Entire home/apt,1245
Upper East Side,Private room,479
Upper East Side,Shared room,59
Upper West Side,Entire home/apt,1273
Upper West Side,Private room,703
Upper West Side,Shared room,61
Van Nest,Entire home/apt,6
Van Nest,Private room,3
Vinegar Hill,Entire home/apt,17
Vinegar Hill,Private room,14
Wakefield,Entire home/apt,9
Wakefield,Private room,19
Wakefield,Shared room,1
Washington Heights,Entire home/apt,277
Washington Heights,Private room,626
Washington Heights,Shared room,38
West Brighton,Entire home/apt,4
West Brighton,Private room,11
West Farms,Entire home/apt,2
West Farms,Private room,2
West Village,Entire home/apt,689
West Village,Private room,155
West Village,Shared room,8
Westchester Square,Entire home/apt,2
Westchester Square,Private room,4
Westerleigh,Entire home/apt,2
Westerleigh,Private room,1
Whitestone,Entire home/apt,5
Whitestone,Private room,4
Williamsbridge,Entire home/apt,9
Williamsbridge,Private room,27
Williamsburg,Entire home/apt,1902
Williamsburg,Private room,2383
Williamsburg,Shared room,40
Windsor Terrace,Entire home/apt,122
Windsor Terrace,Private room,54
Windsor Terrace,Shared room,1
Woodhaven,Entire home/apt,9
Woodhaven,Private room,39
Woodhaven,Shared room,3
Woodlawn,Entire home/apt,2
Woodlawn,Private room,5
Woodrow,Entire home/apt,1
Woodrow,Private room,1
Woodside,Entire home/apt,56
Woodside,Private room,103
Woodside,Shared room,7
